name,mu,sigma,trueskill
coacAI,37.01208300442514,1.2057837814702337,33.39473166001444
workerRushAI,32.177999126535994,1.0158657259647073,29.13040194864187
droplet,32.046013299709365,1.0151344815092278,29.000609855181683
mixedBot,31.485630788984253,1.0538188458547628,28.324174251419965
izanagi,30.251048792700562,1.048141521227313,27.10662422901862
tiamat,27.8300726697548,1.0437640107384225,24.69878063753953
lightRushAI,26.430335172946624,1.0158591694179326,23.382757664692825
rojo,25.174781972400247,1.0053993662036687,22.15858387378924
guidedRojoA3N,23.137975074471896,0.9950992581462096,20.152677300033268
naiveMCTSAI,20.932758765019557,0.9990214832647916,17.93569431522518
randomBiasedAI,16.41033348962392,1.1908998345256558,12.837633986046953
models/MicroRTSGridModeVecEnv__ppo_gridnet__prior__kg12__180__1732846015/503808.pt,16.688798281032337,1.3985074416327266,12.493275956134157
passiveAI,6.315587903310498,2.2292417057662304,-0.3721372139881929
randomAI,5.9383357094823985,2.1599970738074847,-0.5416555119400552
